avg (temperature),max (temperature),min (temperature),avg (humidity),max (humidity),min (humidity),power,avg(wind speed),avg(local pressure),avg(cloud cover),avg(ground temperature),avg(evaporation volume),sun_rise,sun_set,sun_max,day_duration,night_duration,day_avg_temperature_app,night_avg_temperature_app,Nitrogen Dioxide Concentration (ppm),Ozone Concentration (ppm),Carbon Monoxide Concentration (ppm),Sulfur Dioxide Concentration (ppm),Particulate Matter (micrograms per cubic meter),Fine Particulate Matter (micrograms per cubic meter),AQI
,,,,,,,,,,,,,,770.0,770.0,770.0,,,,,,,,,
,,,,,,,,,,,,,,775.0,775.0,775.0,,,,,,,,,
,,,,,,,,,,,,,,780.0,780.0,780.0,,,,,,,,,
,,,,,,,,,,,,,,785.0,785.0,785.0,,,,,,,,,
,,,,,,,,,,,,,,790.0,790.0,790.0,,,,,,,,,
,,,,,,,,,,,,,,795.0,795.0,795.0,,,,,,,,,
,,,,,,,,,,,,,,800.0,800.0,800.0,,,,,,,,,
,,,,,,,,,,,,,,805.0,805.0,805.0,,,,,,,,,
,,,,,,,,,,,,,,810.0,810.0,810.0,,,,,,,,,
,,,,,,,,,,,,,,815.0,815.0,815.0,,,,,,,,,
,,,,,,,,,,,,,,820.0,820.0,820.0,,,,,,,,,
,,,,,,,,,,,,,,825.0,825.0,825.0,,,,,,,,,
,,,,,,,,,,,,,,830.0,830.0,830.0,,,,,,,,,
,,,,,,,,,,,,,,835.0,835.0,835.0,,,,,,,,,
,,,,,,,,,,,,,,840.0,840.0,840.0,,,,,,,,,
,,,,,,,,,,,,,,845.0,845.0,845.0,,,,,,,,,
,,,,,,,,,,,,,,850.0,850.0,850.0,,,,,,,,,
,,,,,,,,,,,,,,855.0,855.0,855.0,,,,,,,,,
,,,,,,,,,,,,,,860.0,860.0,860.0,,,,,,,,,
,,,,,,,,,,,,,,865.0,865.0,865.0,,,,,,,,,
,,,,,,,,,,,,,,870.0,870.0,870.0,,,,,,,,,
,,,,,,,,,,,,,,875.0,875.0,875.0,,,,,,,,,
,,,,,,,,,,,,,,880.0,880.0,880.0,,,,,,,,,
,,,,,,,,,,,,,,885.0,885.0,885.0,,,,,,,,,
,,,,,,,,,,,,,,890.0,890.0,890.0,,,,,,,,,
,,,,,,,,,,,,,,895.0,895.0,895.0,,,,,,,,,
,,,,,,,,,,,,,,900.0,900.0,900.0,,,,,,,,,
,,,,,,,,,,,,,,905.0,905.0,905.0,,,,,,,,,
,,,,,,,,,,,,,,910.0,910.0,910.0,,,,,,,,,
,,,,,,,,,,,,,,915.0,915.0,915.0,,,,,,,,,
,,,,,,,,,,,,,,920.0,920.0,920.0,,,,,,,,,
,,,,,,,,,,,,,,925.0,925.0,925.0,,,,,,,,,
,,,,,,,,,,,,,,930.0,930.0,930.0,,,,,,,,,
,,,,,,,,,,,,,,935.0,935.0,935.0,,,,,,,,,
,,,,,,,,,,,,,,940.0,940.0,940.0,,,,,,,,,
,,,,,,,,,,,,,,945.0,945.0,945.0,,,,,,,,,
,,,,,,,,,,,,,,950.0,950.0,950.0,,,,,,,,,
,,,,,,,,,,,,,,955.0,955.0,955.0,,,,,,,,,
,,,,,,,,,,,,,,960.0,960.0,960.0,,,,,,,,,
,,,,,,,,,,,,,,965.0,965.0,965.0,,,,,,,,,
,,,,,,,,,,,,,,970.0,970.0,970.0,,,,,,,,,
,,,,,,,,,,,,,,975.0,975.0,975.0,,,,,,,,,
,,,,,,,,,,,,,,980.0,980.0,980.0,,,,,,,,,
,,,,,,,,,,,,,,985.0,985.0,985.0,,,,,,,,,
,,,,,,,,,,,,,,990.0,990.0,990.0,,,,,,,,,
,,,,,,,,,,,,,,995.0,995.0,995.0,,,,,,,,,
,,,,,,,,,,,,,,1000.0,1000.0,1000.0,,,,,,,,,
,,,,,,,,,,,,,,1005.0,1005.0,1005.0,,,,,,,,,
,,,,,,,,,,,,,,1010.0,1010.0,1010.0,,,,,,,,,
,,,,,,,,,,,,,,1015.0,1015.0,1015.0,,,,,,,,,
,,,,,,,,,,,,,,1020.0,1020.0,1020.0,,,,,,,,,
,,,,,,,,,,,,,,1025.0,1025.0,1025.0,,,,,,,,,
,,,,,,,,,,,,,,1030.0,1030.0,1030.0,,,,,,,,,
,,,,,,,,,,,,,,1035.0,1035.0,1035.0,,,,,,,,,
,,,,,,,,,,,,,,1040.0,1040.0,1040.0,,,,,,,,,
,,,,,,,,,,,,,,1045.0,1045.0,1045.0,,,,,,,,,
,,,,,,,,,,,,,,1050.0,1050.0,1050.0,,,,,,,,,
,,,,,,,,,,,,,,1055.0,1055.0,1055.0,,,,,,,,,
,,,,,,,,,,,,,,1060.0,1060.0,1060.0,,,,,,,,,
,,,,,,,,,,,,,,1065.0,1065.0,1065.0,,,,,,,,,
,,,,,,,,,,,,,,1070.0,1070.0,1070.0,,,,,,,,,
,,,,,,,,,,,,,,1075.0,1075.0,1075.0,,,,,,,,,
,,,,,,,,,,,,,,1080.0,1080.0,1080.0,,,,,,,,,
,,,,,,,,,,,,,,1085.0,1085.0,1085.0,,,,,,,,,
,,,,,,,,,,,,,,1090.0,1090.0,1090.0,,,,,,,,,
,,,,,,,,,,,,,,1095.0,1095.0,1095.0,,,,,,,,,
,,,,,,,,,,,,,,1100.0,1100.0,1100.0,,,,,,,,,
,,,,,,,,,,,,,,1105.0,1105.0,1105.0,,,,,,,,,
,,,,,,,,,,,,,,1110.0,1110.0,1110.0,,,,,,,,,
,,,,,,,,,,,,,,1115.0,1115.0,1115.0,,,,,,,,,
,,,,,,,,,,,,,,1120.0,1120.0,1120.0,,,,,,,,,
,,,,,,,,,,,,,,1125.0,1125.0,1125.0,,,,,,,,,
,,,,,,,,,,,,,,1130.0,1130.0,1130.0,,,,,,,,,
,,,,,,,,,,,,,,1135.0,1135.0,1135.0,,,,,,,,,
,,,,,,,,,,,,,,1140.0,1140.0,1140.0,,,,,,,,,
,,,,,,,,,,,,,,1145.0,1145.0,1145.0,,,,,,,,,
,,,,,,,,,,,,,,1150.0,1150.0,1150.0,,,,,,,,,
,,,,,,,,,,,,,,1155.0,1155.0,1155.0,,,,,,,,,
,,,,,,,,,,,,,,1160.0,1160.0,1160.0,,,,,,,,,
,,,,,,,,,,,,,,1165.0,1165.0,1165.0,,,,,,,,,
,,,,,,,,,,,,,,1170.0,1170.0,1170.0,,,,,,,,,
,,,,,,,,,,,,,,1175.0,1175.0,1175.0,,,,,,,,,
,,,,,,,,,,,,,,1180.0,1180.0,1180.0,,,,,,,,,
,,,,,,,,,,,,,,1185.0,1185.0,1185.0,,,,,,,,,
,,,,,,,,,,,,,,1190.0,1190.0,1190.0,,,,,,,,,
,,,,,,,,,,,,,,1195.0,1195.0,1195.0,,,,,,,,,
,,,,,,,,,,,,,,1200.0,1200.0,1200.0,,,,,,,,,
,,,,,,,,,,,,,,1205.0,1205.0,1205.0,,,,,,,,,
,,,,,,,,,,,,,,1210.0,1210.0,1210.0,,,,,,,,,
,,,,,,,,,,,,,,1215.0,1215.0,1215.0,,,,,,,,,
,,,,,,,,,,,,,,1220.0,1220.0,1220.0,,,,,,,,,
,,,,,,,,,,,,,,1225.0,1225.0,1225.0,,,,,,,,,
,,,,,,,,,,,,,,1230.0,1230.0,1230.0,,,,,,,,,
,,,,,,,,,,,,,,1235.0,1235.0,1235.0,,,,,,,,,
,,,,,,,,,,,,,,1240.0,1240.0,1240.0,,,,,,,,,
,,,,,,,,,,,,,,1245.0,1245.0,1245.0,,,,,,,,,
,,,,,,,,,,,,,,1250.0,1250.0,1250.0,,,,,,,,,
,,,,,,,,,,,,,,1255.0,1255.0,1255.0,,,,,,,,,
,,,,,,,,,,,,,,1260.0,1260.0,1260.0,,,,,,,,,
,,,,,,,,,,,,,,1265.0,1265.0,1265.0,,,,,,,,,
,,,,,,,,,,,,,,1270.0,1270.0,1270.0,,,,,,,,,
,,,,,,,,,,,,,,1275.0,1275.0,1275.0,,,,,,,,,
,,,,,,,,,,,,,,1280.0,1280.0,1280.0,,,,,,,,,
,,,,,,,,,,,,,,1285.0,1285.0,1285.0,,,,,,,,,
,,,,,,,,,,,,,,1290.0,1290.0,1290.0,,,,,,,,,
,,,,,,,,,,,,,,1295.0,1295.0,1295.0,,,,,,,,,
,,,,,,,,,,,,,,1300.0,1300.0,1300.0,,,,,,,,,
,,,,,,,,,,,,,,1305.0,1305.0,1305.0,,,,,,,,,
,,,,,,,,,,,,,,1310.0,1310.0,1310.0,,,,,,,,,
,,,,,,,,,,,,,,1315.0,1315.0,1315.0,,,,,,,,,
,,,,,,,,,,,,,,1320.0,1320.0,1320.0,,,,,,,,,
,,,,,,,,,,,,,,1325.0,1325.0,1325.0,,,,,,,,,
,,,,,,,,,,,,,,1330.0,1330.0,1330.0,,,,,,,,,
,,,,,,,,,,,,,,1335.0,1335.0,1335.0,,,,,,,,,
,,,,,,,,,,,,,,1340.0,1340.0,1340.0,,,,,,,,,
,,,,,,,,,,,,,,1345.0,1345.0,1345.0,,,,,,,,,
,,,,,,,,,,,,,,1350.0,1350.0,1350.0,,,,,,,,,
,,,,,,,,,,,,,,1355.0,1355.0,1355.0,,,,,,,,,
